,Ban rate of champion,Image of champion,Name of champion,Pick rate of champion,Win rate of champion
0,16.40%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Kassadin.webp,Kassadin,7.60%,51.70%
1,46.40%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Udyr.webp,Udyr,7.90%,51.60%
2,13.80%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Lulu.webp,Lulu,15.20%,51.20%
3,10.90%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Thresh.webp,Thresh,20.90%,51.40%
4,4.30%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Garen.webp,Garen,8.00%,52.30%
5,12.40%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Khazix.webp,Kha'Zix,11.60%,51.30%
6,35.30%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Hecarim.webp,Hecarim,17.80%,52.20%
7,28.70%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Yone.webp,Yone,12.30%,49.30%
8,2.40%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Urgot.webp,Urgot,6.40%,53.80%
9,15.50%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Katarina.webp,Katarina,9.30%,50.50%
10,16.10%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Gnar.webp,Gnar,14.90%,51.10%
11,12.70%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Vayne.webp,Vayne,16.20%,52.00%
12,30.60%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Darius.webp,Darius,8.80%,51.70%
13,29.00%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Zed.webp,Zed,11.10%,50.20%
14,26.40%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Kaisa.webp,Kai'Sa,33.20%,50.20%
15,3.40%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Alistar.webp,Alistar,11.00%,50.40%
16,17.50%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Yasuo.webp,Yasuo,9.50%,49.00%
17,2.50%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Riven.webp,Riven,8.10%,51.20%
18,5.10%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Karthus.webp,Karthus,4.40%,52.60%
19,3.50%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Diana.webp,Diana,6.40%,52.40%
20,18.20%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Leona.webp,Leona,10.40%,50.80%
21,8.30%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Fiora.webp,Fiora,8.30%,49.70%
22,2.00%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Chogath.webp,Cho'Gath,5.20%,52.40%
23,1.10%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Ahri.webp,Ahri,6.60%,51.50%
24,5.30%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Tristana.webp,Tristana,13.80%,51.10%
25,13.30%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Malphite.webp,Malphite,7.70%,51.00%
26,21.00%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Seraphine.webp,Seraphine,10.20%,49.80%
27,1.80%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Skarner.webp,Skarner,3.50%,53.00%
28,4.20%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Fiddlesticks.webp,Fiddlesticks,5.30%,52.60%
29,7.50%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Elise.webp,Elise,7.30%,51.00%
30,9.70%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Yuumi.webp,Yuumi,10.30%,50.20%
31,0.50%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Bard.webp,Bard,6.00%,52.70%
32,5.40%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Ekko.webp,Ekko,5.20%,51.10%
33,2.30%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Jinx.webp,Jinx,14.30%,50.90%
34,1.60%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Galio.webp,Galio,4.00%,52.20%
35,13.00%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Shaco.webp,Shaco,8.70%,51.50%
36,0.90%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Annie.webp,Annie,3.00%,53.50%
37,5.50%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Jhin.webp,Jhin,20.20%,51.00%
38,28.10%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Morgana.webp,Morgana,8.90%,50.10%
39,2.20%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Swain.webp,Swain,1.10%,54.90%
40,2.10%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Nunu.webp,Nunu & Willump,4.90%,51.60%
41,0.50%,https://blitz-cdn.blitz.gg/blitz/lol/champion/Zilean.webp,Zilean,3.60%,52.70%
