,Character,Attribute,Values
0,Aatrox,Health,580 - 2110.0
1,Aatrox,Health regen.,3 - 20.0
2,Aatrox,Armor,38 - 5563.0
3,Aatrox,Attack damage,60 - 145.0
4,Aatrox,Magic resist.,32 - 2157.0
5,Aatrox,Crit. damage,175%
6,Aatrox,Move. speed,345
7,Aatrox,Attack range,175
8,Aatrox,Base AS,0.651
9,Aatrox,Bonus AS,25
10,Ahri,Health,526 - 2090.0
11,Ahri,Mana,418 - 843.0
12,Ahri,Health regen.,55 - 157.0
13,Ahri,Mana regen.,8 - 144.0
14,Ahri,Armor,21 - 616.0
15,Ahri,Attack damage,53 - 104.0
16,Ahri,Magic resist.,30 - 115.0
17,Ahri,Crit. damage,175%
18,Ahri,Move. speed,330
19,Ahri,Attack range,550
20,Ahri,Base AS,0.668
21,Ahri,Bonus AS,2
22,Ahri,MagicTrue, Magic True
23,Akali,Health,500 - 2285.0
24,Akali,Energy,200 - 200.0
25,Akali,Health regen.,8 - 93.0
26,Akali,Energy regen.,50
27,Akali,Armor,23 - 618.0
28,Akali,Attack damage,62 - 623.0
29,Akali,Magic resist.,37 - 2162.0
30,Akali,Crit. damage,175%
31,Akali,Move. speed,345
32,Akali,Attack range,125
33,Akali,Base AS,0.625
34,Akali,Bonus AS,32
35,Alistar,Health,600 - 2402.0
36,Alistar,Mana,350 - 1030.0
37,Alistar,Health regen.,85 - 1530.0
38,Alistar,Mana regen.,85 - 221.0
39,Alistar,Armor,44 - 639.0
40,Alistar,Attack damage,62 - 6437.0
41,Alistar,Magic resist.,32 - 2157.0
42,Alistar,Crit. damage,175%
43,Alistar,Move. speed,330
44,Alistar,Attack range,125
45,Alistar,Base AS,0.625
46,Alistar,Bonus AS,2125
47,Amumu,Health,615 - 1975.0
48,Amumu,Mana,285 - 965.0
49,Amumu,Health regen.,9 - 1454.0
50,Amumu,Mana regen.,7382 - 16307.0
51,Amumu,Armor,30 - 676.0
52,Amumu,Attack damage,53 - 699.0
53,Amumu,Magic resist.,32 - 2157.0
54,Amumu,Crit. damage,175%
55,Amumu,Move. speed,335
56,Amumu,Attack range,125
57,Amumu,Base AS,0.736
58,Amumu,Bonus AS,218
59,Anivia,Health,480 - 1874.0
60,Anivia,Mana,495 - 1260.0
61,Anivia,Health regen.,55 - 990.0
62,Anivia,Mana regen.,8 - 144.0
63,Anivia,Armor,21 - 89.0
64,Anivia,Attack damage,51 - 595.0
65,Anivia,Magic resist.,30 - 115.0
66,Anivia,Crit. damage,175%
67,Anivia,Move. speed,325
68,Anivia,Attack range,600
69,Anivia,Base AS,0.625
70,Anivia,Bonus AS,168
71,Anivia,Missile speed,1600
72,Annie,Health,524 - 2020.0
73,Annie,Mana,418 - 843.0
74,Annie,Health regen.,55 - 990.0
75,Annie,Mana regen.,8 - 144.0
76,Annie,Armor,19 - 87.0
77,Annie,Attack damage,50 - 4521.0
78,Annie,Magic resist.,30 - 115.0
79,Annie,Crit. damage,175%
80,Annie,Move. speed,335
81,Annie,Attack range,625
82,Annie,Base AS,0.579
83,Annie,Bonus AS,136
84,Annie,Magic damage,5075100 - 5075355.0
85,Annie,Attack speed,0.625
86,Annie,Range,"

150
"
87,Annie,Magic res.,30 / 50 / 70
88,Annie,Mov. speed,350
89,Aphelios,Health,530 - 2026.0
90,Aphelios,Mana,348 - 1062.0
91,Aphelios,Health regen.,325 - 1260.0
92,Aphelios,Mana regen.,65 - 133.0
93,Aphelios,Armor,28 - 79.0
94,Aphelios,Attack damage,57 - 465.0
95,Aphelios,Magic resist.,26 - 111.0
96,Aphelios,Crit. damage,175%
97,Aphelios,Move. speed,325
98,Aphelios,Attack range,550
99,Aphelios,Base AS,0.64
100,Aphelios,Bonus AS,21
101,Ashe,Health,570 - 2049.0
102,Ashe,Mana,280 - 824.0
103,Ashe,Health regen.,35 - 970.0
104,Ashe,Mana regen.,6972 - 7040.0
105,Ashe,Armor,26 - 604.0
106,Ashe,Attack damage,59 - 5091.0
107,Ashe,Magic resist.,30 - 115.0
108,Ashe,Crit. damage,100%
109,Ashe,Move. speed,325
110,Ashe,Attack range,600
111,Ashe,Base AS,0.658
112,Ashe,Bonus AS,333
113,Ashe,Missile speed,2500
114,Aurelion_Sol,Health,575 - 2139.0
115,Aurelion_Sol,Mana,350 - 1200.0
116,Aurelion_Sol,Health regen.,7 - 109.0
117,Aurelion_Sol,Mana regen.,6 - 142.0
118,Aurelion_Sol,Armor,19 - 631.0
119,Aurelion_Sol,Attack damage,57 - 601.0
120,Aurelion_Sol,Magic resist.,30 - 115.0
121,Aurelion_Sol,Crit. damage,175%
122,Aurelion_Sol,Move. speed,325
123,Aurelion_Sol,Attack range,550
124,Aurelion_Sol,Base AS,0.625
125,Aurelion_Sol,Bonus AS,136
126,Azir,Health,552 - 2116.0
127,Azir,Mana,480 - 837.0
128,Azir,Health regen.,7 - 1282.0
129,Azir,Mana regen.,8 - 144.0
130,Azir,Armor,19 - 70.0
131,Azir,Attack damage,52 - 528.0
132,Azir,Magic resist.,30 - 115.0
133,Azir,Crit. damage,175%
134,Azir,Move. speed,335
135,Azir,Attack range,525
136,Azir,Base AS,0.625
137,Azir,Bonus AS,3
138,Azir,Missile speed,Non-projectile
139,Azir,Attack speed,"

0.833
"
140,Azir,Range,"

750
"
141,Azir,Magic res.,100 - 117.0
142,Azir,CC resist.Immune to all crowd controlstasis, Immune to all crowd control stasis
143,Azir,Mov. speed,"

Static
"
144,Bard,Health,560 - 2073.0
145,Bard,Mana,350 - 1200.0
146,Bard,Health regen.,55 - 990.0
147,Bard,Mana regen.,6 - 771.0
148,Bard,Armor,34 - 102.0
149,Bard,Attack damage,52 - 103.0
150,Bard,Magic resist.,30 - 115.0
151,Bard,Crit. damage,175%
152,Bard,Move. speed,330
153,Bard,Attack range,500
154,Bard,Base AS,0.625
155,Bard,Bonus AS,2
156,Blitzcrank,Health,583 - 2198.0
157,Blitzcrank,Mana,2672 - 3352.0
158,Blitzcrank,Health regen.,85 - 1360.0
159,Blitzcrank,Mana regen.,85 - 221.0
160,Blitzcrank,Armor,37 - 632.0
161,Blitzcrank,Attack damage,62 - 657.0
162,Blitzcrank,Magic resist.,32 - 2157.0
163,Blitzcrank,Crit. damage,175%
164,Blitzcrank,Move. speed,325
165,Blitzcrank,Attack range,125
166,Blitzcrank,Base AS,0.625
167,Blitzcrank,Bonus AS,113
168,Brand,Health,520 - 2016.0
169,Brand,Mana,469 - 826.0
170,Brand,Health regen.,55 - 990.0
171,Brand,Mana regen.,10665 - 10767.0
